fen_idx,fen,time,score_avg,elo_est,diff_max,diff_avg,depth_avg,nodes_avg,%_same_move
25,1r5r/p2k1ppp/p2b1n2/2pb4/8/1P2BN2/P1PN1PPP/R4RK1 w -,20.0,68.0,2975,21,5.0,35.0,18316592,100.0
26,r2q1rk1/p1p2p1p/8/3p1Qp1/3Pn3/4PP2/PP4PP/RN3RK1 b -,0.2,400.0,1925,62,14.0,19.0,267372,100.0
26,r2q1rk1/p1p2p1p/8/3p1Qp1/3Pn3/4PP2/PP4PP/RN3RK1 b -,1.0,418,2300,55,17.0,23.0,1207898,100.0
26,r2q1rk1/p1p2p1p/8/3p1Qp1/3Pn3/4PP2/PP4PP/RN3RK1 b -,3.0,449.0,2600,42,11.0,26.0,3413487,100.0
26,r2q1rk1/p1p2p1p/8/3p1Qp1/3Pn3/4PP2/PP4PP/RN3RK1 b -,20.0,459.0,2875,52,15.0,31.0,21979629,100.0
27,r2q1rk1/p1p2p1p/3n4/3p1Qp1/3P4/4PP2/PP4PP/RN3RK1 w -,0.2,476.0,1925,57,12.0,19.0,295336,100.0
27,r2q1rk1/p1p2p1p/3n4/3p1Qp1/3P4/4PP2/PP4PP/RN3RK1 w -,1.0,471.0,2300,24,7.0,23.0,1280802,100.0
27,r2q1rk1/p1p2p1p/3n4/3p1Qp1/3P4/4PP2/PP4PP/RN3RK1 w -,3.0,460.0,2600,46,11.0,26.0,3520027,100.0
27,r2q1rk1/p1p2p1p/3n4/3p1Qp1/3P4/4PP2/PP4PP/RN3RK1 w -,20.0,467.0,2925,28,7.0,33.0,21780784,100.0
28,r4rk1/pb3ppp/8/2P5/4N3/8/P4PPP/b2K1B1R b -,0.2,-1263.0,1625,87,20.0,15.0,294997,100.0
28,r4rk1/pb3ppp/8/2P5/4N3/8/P4PPP/b2K1B1R b -,1.0,-1307.0,1925,35,8.0,19.0,1528729,100.0
28,r4rk1/pb3ppp/8/2P5/4N3/8/P4PPP/b2K1B1R b -,3.0,-1330.0,2200,99,26.0,22.0,4731197,100.0
28,r4rk1/pb3ppp/8/2P5/4N3/8/P4PPP/b2K1B1R b -,20.0,-1423.0,2700,88,24.0,27.0,33015322,100.0
29,r4rk1/p4ppp/8/2P5/4b3/8/P4PPP/b2K1B1R w -,0.2,-1428.0,1550,135,28.0,14.0,333363,70.0
29,r4rk1/p4ppp/8/2P5/4b3/8/P4PPP/b2K1B1R w -,1.0,-1371.0,1850,127,42.0,18.0,1582674,100.0
29,r4rk1/p4ppp/8/2P5/4b3/8/P4PPP/b2K1B1R w -,3.0,-1364.0,2000,76,19.0,20.0,4637849,90.0
29,r4rk1/p4ppp/8/2P5/4b3/8/P4PPP/b2K1B1R w -,20.0,-1442.0,2500,84,17.0,25.0,33036172,100.0
30,3q1rk1/p1p1nppb/2p4p/1BN1P3/5B2/1P6/P1P2PPP/R2Q1RK1 b -,0.2,999.0,1700,49,14.0,16,258446,100.0
30,3q1rk1/p1p1nppb/2p4p/1BN1P3/5B2/1P6/P1P2PPP/R2Q1RK1 b -,1.0,1016.0,2100,33,7.0,21.0,1306726,100.0
30,3q1rk1/p1p1nppb/2p4p/1BN1P3/5B2/1P6/P1P2PPP/R2Q1RK1 b -,3.0,1026.0,2400,42,9.0,24.0,3685224,100.0
30,3q1rk1/p1p1nppb/2p4p/1BN1P3/5B2/1P6/P1P2PPP/R2Q1RK1 b -,20.0,1020.0,2900,27,8.0,32.0,23872510,100.0
31,3q1rk1/p1p1nppb/7p/1pN1P3/5B2/1P6/P1P2PPP/R2Q1RK1 w -,0.2,1031.0,1850,20,6.0,18.0,252245,100.0
31,3q1rk1/p1p1nppb/7p/1pN1P3/5B2/1P6/P1P2PPP/R2Q1RK1 w -,1.0,1029.0,2100,30,7.0,21.0,1135113,100.0
31,3q1rk1/p1p1nppb/7p/1pN1P3/5B2/1P6/P1P2PPP/R2Q1RK1 w -,3.0,1023.0,2400,44,10.0,24.0,3490734,100.0
31,3q1rk1/p1p1nppb/7p/1pN1P3/5B2/1P6/P1P2PPP/R2Q1RK1 w -,20.0,1029.0,2875,28,8.0,31.0,23648849,100.0
32,r2qk2r/1ppb1ppp/4pn2/p3B3/2BP4/P1RQP3/1P3PPP/5RK1 b kq,0.2,248.0,1700,43,12.0,16.0,231380,100.0
32,r2qk2r/1ppb1ppp/4pn2/p3B3/2BP4/P1RQP3/1P3PPP/5RK1 b kq,1.0,265.0,2000,28,8.0,20.0,1049029,100.0
32,r2qk2r/1ppb1ppp/4pn2/p3B3/2BP4/P1RQP3/1P3PPP/5RK1 b kq,3.0,285.0,2300,42,7.0,23.0,2878145,100.0
32,r2qk2r/1ppb1ppp/4pn2/p3B3/2BP4/P1RQP3/1P3PPP/5RK1 b kq,20.0,284.0,2825,34,8.0,29.0,20136385,100.0
33,r2q1rk1/1ppb1ppp/4pn2/p3B3/2BP4/P1RQP3/1P3PPP/5RK1 w -,0.2,299.0,1925,27,6.0,19.0,259958,100.0
33,r2q1rk1/1ppb1ppp/4pn2/p3B3/2BP4/P1RQP3/1P3PPP/5RK1 w -,1.0,307.0,2000,30,9.0,20.0,1077527,100.0
33,r2q1rk1/1ppb1ppp/4pn2/p3B3/2BP4/P1RQP3/1P3PPP/5RK1 w -,3.0,300.0,2400,29,7.0,24.0,2996240,100.0
33,r2q1rk1/1ppb1ppp/4pn2/p3B3/2BP4/P1RQP3/1P3PPP/5RK1 w -,20.0,299.0,2850,32,9.0,30.0,20495993,100.0
34,r4rk1/3bbppp/q1pp1n2/1pn1p3/1P2P3/2NPBN1P/B1P2PP1/R2Q1RK1 b -,0.2,82.0,1700,43,14.0,16.0,245815,100.0
34,r4rk1/3bbppp/q1pp1n2/1pn1p3/1P2P3/2NPBN1P/B1P2PP1/R2Q1RK1 b -,1.0,79.0,2200,36,12.0,22.0,1109758,100.0
34,r4rk1/3bbppp/q1pp1n2/1pn1p3/1P2P3/2NPBN1P/B1P2PP1/R2Q1RK1 b -,3.0,76,2700,35,10.0,27.0,3425582,100.0
34,r4rk1/3bbppp/q1pp1n2/1pn1p3/1P2P3/2NPBN1P/B1P2PP1/R2Q1RK1 b -,20.0,77.0,2950,26,8.0,34.0,20115919,100.0
35,r4rk1/1n1bbppp/q1pp1n2/1p2p3/1P2P3/2NPBN1P/B1P2PP1/R2Q1RK1 w -,0.2,566.0,1700,43,10.0,16,238789,100.0
35,r4rk1/1n1bbppp/q1pp1n2/1p2p3/1P2P3/2NPBN1P/B1P2PP1/R2Q1RK1 w -,1.0,553.0,2100,31,7.0,21.0,1167816,100.0
35,r4rk1/1n1bbppp/q1pp1n2/1p2p3/1P2P3/2NPBN1P/B1P2PP1/R2Q1RK1 w -,3.0,563.0,2400,40,10.0,24.0,3213953,100.0
35,r4rk1/1n1bbppp/q1pp1n2/1p2p3/1P2P3/2NPBN1P/B1P2PP1/R2Q1RK1 w -,20.0,564.0,2875,30,7.0,31.0,21788630,100.0
36,3q1rk1/2p2pp1/2pbbp1p/1P1p4/3P4/4PN1P/r2N1PP1/1R1Q1RK1 b -,0.2,-466.0,1775,85,26.0,17.0,241374,100.0
36,3q1rk1/2p2pp1/2pbbp1p/1P1p4/3P4/4PN1P/r2N1PP1/1R1Q1RK1 b -,1.0,-488.0,2200,32,9.0,22.0,1192647,100.0
36,3q1rk1/2p2pp1/2pbbp1p/1P1p4/3P4/4PN1P/r2N1PP1/1R1Q1RK1 b -,3.0,-499.0,2600,32,9.0,26.0,3357150,100.0
36,3q1rk1/2p2pp1/2pbbp1p/1P1p4/3P4/4PN1P/r2N1PP1/1R1Q1RK1 b -,20.0,-513.0,2900,34,11.0,32.0,17865662,100.0
37,3q1rk1/2p2pp1/3bbp1p/1p1p4/3P4/4PN1P/r2N1PP1/1R1Q1RK1 w -,0.2,-253.0,1775,28,7.0,17.0,252869,100.0
37,3q1rk1/2p2pp1/3bbp1p/1p1p4/3P4/4PN1P/r2N1PP1/1R1Q1RK1 w -,1.0,-338,2300,19,5.0,23.0,1216842,100.0
37,3q1rk1/2p2pp1/3bbp1p/1p1p4/3P4/4PN1P/r2N1PP1/1R1Q1RK1 w -,3.0,-349.0,2825,50,11.0,29.0,3660161,100.0
37,3q1rk1/2p2pp1/3bbp1p/1p1p4/3P4/4PN1P/r2N1PP1/1R1Q1RK1 w -,20.0,-377.0,3000,35,9.0,36.0,23442808,100.0
38,r1b1k3/p1q1bNp1/3p1n1p/4p3/3pP3/1BPP4/P4PPP/R1BQ1RK1 b q,0.2,859.0,1700,46,15.0,16.0,227977,100.0
38,r1b1k3/p1q1bNp1/3p1n1p/4p3/3pP3/1BPP4/P4PPP/R1BQ1RK1 b q,1.0,888.0,2100,51,16.0,21.0,1150358,100.0
38,r1b1k3/p1q1bNp1/3p1n1p/4p3/3pP3/1BPP4/P4PPP/R1BQ1RK1 b q,3.0,894,2400,31,7.0,24.0,3382305,100.0
38,r1b1k3/p1q1bNp1/3p1n1p/4p3/3pP3/1BPP4/P4PPP/R1BQ1RK1 b q,20.0,904.0,2800,42,14.0,28,21857207,100.0
39,r1b1k3/p3bNp1/3p1n1p/4p3/3pP3/1BqP4/P4PPP/R1BQ1RK1 w q,0.2,1042,1625,66,16.0,15.0,91180,100.0
39,r1b1k3/p3bNp1/3p1n1p/4p3/3pP3/1BqP4/P4PPP/R1BQ1RK1 w q,1.0,1067.0,1925,59,19.0,19.0,635014,100.0
39,r1b1k3/p3bNp1/3p1n1p/4p3/3pP3/1BqP4/P4PPP/R1BQ1RK1 w q,3.0,1080.0,2300,23,6.0,23.0,3170530,100.0
39,r1b1k3/p3bNp1/3p1n1p/4p3/3pP3/1BqP4/P4PPP/R1BQ1RK1 w q,20.0,1109.0,2850,34,9.0,30.0,26655894,100.0
42,5rk1/ppp2ppp/8/5Nq1/8/4Q3/PPP2PPP/3K1B1R b -,0.2,697.0,1700,36,10.0,16.0,236536,100.0
42,5rk1/ppp2ppp/8/5Nq1/8/4Q3/PPP2PPP/3K1B1R b -,1.0,741.0,2400,25,5.0,24.0,1288502,100.0
42,5rk1/ppp2ppp/8/5Nq1/8/4Q3/PPP2PPP/3K1B1R b -,3.0,744.0,2800,13,3.0,28.0,3494707,100.0
42,5rk1/ppp2ppp/8/5Nq1/8/4Q3/PPP2PPP/3K1B1R b -,20.0,752,2950,20,4,34.0,22186461,100.0
43,3r2k1/ppp2ppp/8/5Nq1/8/4Q3/PPP2PPP/3K1B1R w -,0.2,797.0,1775,24,7.0,17.0,257810,100.0
43,3r2k1/ppp2ppp/8/5Nq1/8/4Q3/PPP2PPP/3K1B1R w -,1.0,803.0,2100,26,6.0,21.0,1202085,100.0
43,3r2k1/ppp2ppp/8/5Nq1/8/4Q3/PPP2PPP/3K1B1R w -,3.0,809.0,2500,32,8.0,25.0,3680386,100.0
43,3r2k1/ppp2ppp/8/5Nq1/8/4Q3/PPP2PPP/3K1B1R w -,20.0,815.0,2900,33,9.0,32.0,24873278,100.0
44,r4rk1/p1p1nppp/1p1q4/3pR3/3P4/2P2Q2/PBP2PPP/R5K1 b -,0.2,-3.0,2200,13,3.0,22.0,261011,50.0
44,r4rk1/p1p1nppp/1p1q4/3pR3/3P4/2P2Q2/PBP2PPP/R5K1 b -,1.0,0,2900,0,0,32.0,1174554,90.0
45,r4rk1/p1p1nppp/1p4q1/3pR3/3P4/2P2Q2/PBP2PPP/R5K1 w -,0.2,653.0,1775,37,9.0,17.0,154108,100.0
45,r4rk1/p1p1nppp/1p4q1/3pR3/3P4/2P2Q2/PBP2PPP/R5K1 w -,1.0,697.0,2200,61,16.0,22.0,1133462,100.0
45,r4rk1/p1p1nppp/1p4q1/3pR3/3P4/2P2Q2/PBP2PPP/R5K1 w -,3.0,731.0,2600,33,7.0,26.0,3065091,100.0
45,r4rk1/p1p1nppp/1p4q1/3pR3/3P4/2P2Q2/PBP2PPP/R5K1 w -,20.0,728,2950,21,5.0,34.0,21457894,100.0
46,r3k2r/pp1n2p1/3b1q1p/1BpPp3/Q3Pp2/5N2/PP3PPP/R4RK1 b kq,0.2,181.0,1700,66,15.0,16.0,191458,100.0
46,r3k2r/pp1n2p1/3b1q1p/1BpPp3/Q3Pp2/5N2/PP3PPP/R4RK1 b kq,1.0,194.0,2200,40,9.0,22.0,1086345,100.0
46,r3k2r/pp1n2p1/3b1q1p/1BpPp3/Q3Pp2/5N2/PP3PPP/R4RK1 b kq,3.0,201.0,2700,30,9.0,27.0,3187845,100.0
46,r3k2r/pp1n2p1/3b1q1p/1BpPp3/Q3Pp2/5N2/PP3PPP/R4RK1 b kq,20.0,191.0,2950,32,8.0,34,19739417,100.0
47,r3k2r/pp1n1qp1/3b3p/1BpPp3/Q3Pp2/5N2/PP3PPP/R4RK1 w kq,0.2,407.0,1775,71,17.0,17,235803,100.0
47,r3k2r/pp1n1qp1/3b3p/1BpPp3/Q3Pp2/5N2/PP3PPP/R4RK1 w kq,1.0,437.0,2000,53,13.0,20.0,1117844,100.0
47,r3k2r/pp1n1qp1/3b3p/1BpPp3/Q3Pp2/5N2/PP3PPP/R4RK1 w kq,3.0,462,2400,45,10.0,24.0,3277581,100.0
47,r3k2r/pp1n1qp1/3b3p/1BpPp3/Q3Pp2/5N2/PP3PPP/R4RK1 w kq,20.0,487,2850,39,11.0,30.0,21598884,100.0
48,r3k2r/pq3ppp/2n1p3/2bpPn2/1Pp2B2/2P2N2/P1QN1PPP/R4RK1 b kq,0.2,-55.0,1775,40,10.0,17.0,227405,100.0
48,r3k2r/pq3ppp/2n1p3/2bpPn2/1Pp2B2/2P2N2/P1QN1PPP/R4RK1 b kq,1.0,-82.0,2200,48,10.0,22,1095305,100.0
48,r3k2r/pq3ppp/2n1p3/2bpPn2/1Pp2B2/2P2N2/P1QN1PPP/R4RK1 b kq,3.0,-90.0,2500,30,6.0,25.0,3209082,100.0
48,r3k2r/pq3ppp/2n1p3/2bpPn2/1Pp2B2/2P2N2/P1QN1PPP/R4RK1 b kq,20.0,-84.0,3000,39,8.0,36.0,20819756,100.0
49,r3k2r/pq3ppp/1bn1p3/3pPn2/1Pp2B2/2P2N2/P1QN1PPP/R4RK1 w kq,0.2,-76.0,2400,15,4.0,24.0,245671,100.0
49,r3k2r/pq3ppp/1bn1p3/3pPn2/1Pp2B2/2P2N2/P1QN1PPP/R4RK1 w kq,1.0,-72,2700,21,5.0,27.0,1122804,100.0
49,r3k2r/pq3ppp/1bn1p3/3pPn2/1Pp2B2/2P2N2/P1QN1PPP/R4RK1 w kq,3.0,-70.0,2825,25,6.0,29.0,3253219,100.0
49,r3k2r/pq3ppp/1bn1p3/3pPn2/1Pp2B2/2P2N2/P1QN1PPP/R4RK1 w kq,20.0,-74.0,2975,24,7.0,35.0,20450685,100.0
